checking_balance,months_loan_duration,credit_history,purpose,amount,savings_balance,employment_duration,years_at_residence,age,other_credit,existing_loans_count,default
1 - 200 DM,10,very good,furniture/appliances,1048,< 100 DM,1 - 4 years,4,23,store,1,no
1 - 200 DM,48,good,furniture/appliances,3979,unknown,4 - 7 years,1,41,none,2,no
unknown,24,good,furniture/appliances,5943,unknown,< 1 year,1,44,none,2,yes
unknown,24,good,car,5433,unknown,unemployed,4,26,none,1,no
unknown,39,good,car,2569,500 - 1000 DM,1 - 4 years,4,24,none,1,no
unknown,24,good,car,3757,< 100 DM,> 7 years,4,62,none,1,no
unknown,24,good,furniture/appliances,3621,100 - 500 DM,> 7 years,4,31,none,2,yes
1 - 200 DM,6,good,furniture/appliances,1068,< 100 DM,> 7 years,4,28,none,1,no
< 0 DM,24,good,car,1381,unknown,1 - 4 years,2,35,none,1,yes
unknown,15,good,furniture/appliances,2708,< 100 DM,< 1 year,3,27,bank,2,no
unknown,24,good,furniture/appliances,5511,100 - 500 DM,1 - 4 years,1,25,store,1,no
unknown,24,good,car,2255,unknown,< 1 year,1,54,none,1,no
1 - 200 DM,9,very good,car,5129,< 100 DM,> 7 years,4,74,bank,1,yes
unknown,15,very good,furniture/appliances,1569,100 - 500 DM,> 7 years,4,34,bank,1,no
unknown,24,good,furniture/appliances,1413,< 100 DM,1 - 4 years,2,28,none,1,no
1 - 200 DM,48,very good,business,3566,100 - 500 DM,4 - 7 years,2,30,none,1,no
unknown,36,good,car,909,500 - 1000 DM,> 7 years,4,36,none,1,no
unknown,6,good,education,1238,unknown,unemployed,4,36,none,1,no
1 - 200 DM,24,very good,education,1837,< 100 DM,4 - 7 years,4,34,bank,1,yes
1 - 200 DM,45,critical,car,4576,100 - 500 DM,unemployed,4,27,none,1,no
unknown,36,critical,car,7855,< 100 DM,1 - 4 years,2,25,store,2,yes
unknown,11,critical,car,1393,< 100 DM,< 1 year,4,35,none,2,no
< 0 DM,18,critical,renovations,1190,< 100 DM,unemployed,4,55,none,3,yes
> 200 DM,12,good,car,1330,< 100 DM,< 1 year,1,26,none,1,no
< 0 DM,15,good,car,3959,< 100 DM,1 - 4 years,2,29,none,1,yes
1 - 200 DM,24,critical,furniture/appliances,1743,< 100 DM,> 7 years,2,48,none,2,no
unknown,18,poor,furniture/appliances,2320,< 100 DM,unemployed,3,34,none,2,no
unknown,12,good,furniture/appliances,2141,100 - 500 DM,4 - 7 years,1,35,none,1,no
1 - 200 DM,48,good,car,6560,100 - 500 DM,4 - 7 years,2,24,none,1,yes
> 200 DM,30,critical,furniture/appliances,3656,unknown,> 7 years,4,49,store,2,no
unknown,12,critical,furniture/appliances,3331,< 100 DM,> 7 years,4,42,store,1,no
< 0 DM,33,critical,furniture/appliances,4281,500 - 1000 DM,1 - 4 years,4,23,none,2,yes
unknown,9,critical,car,1224,< 100 DM,1 - 4 years,1,30,none,2,no
< 0 DM,6,critical,car,3676,< 100 DM,1 - 4 years,3,37,none,3,no
< 0 DM,30,good,furniture/appliances,3622,> 1000 DM,> 7 years,4,57,none,2,no
< 0 DM,24,good,car,6579,< 100 DM,unemployed,2,29,none,1,no
unknown,48,poor,furniture/appliances,7238,unknown,> 7 years,3,32,bank,2,no
< 0 DM,48,critical,car,6331,< 100 DM,> 7 years,4,46,none,2,yes
unknown,12,perfect,furniture/appliances,2759,< 100 DM,> 7 years,4,34,none,2,no
1 - 200 DM,9,good,car,276,< 100 DM,1 - 4 years,4,22,none,1,no
> 200 DM,15,good,education,1905,< 100 DM,> 7 years,4,40,none,1,no
unknown,24,critical,furniture/appliances,3777,> 1000 DM,1 - 4 years,4,50,none,1,no
unknown,24,good,car,3488,100 - 500 DM,4 - 7 years,4,23,none,1,no
1 - 200 DM,10,good,furniture/appliances,1521,< 100 DM,1 - 4 years,2,31,none,1,no
< 0 DM,36,poor,business,2145,< 100 DM,4 - 7 years,1,24,none,2,yes
unknown,48,critical,furniture/appliances,3578,unknown,> 7 years,1,47,none,1,no
unknown,18,critical,car,3229,unknown,unemployed,4,38,none,1,no
unknown,36,good,education,9055,unknown,1 - 4 years,4,35,none,1,no
1 - 200 DM,6,poor,car,1209,< 100 DM,unemployed,4,47,none,1,yes
unknown,24,critical,car,1287,> 1000 DM,> 7 years,4,37,none,2,no
< 0 DM,24,good,car,1371,unknown,1 - 4 years,4,25,none,1,yes
unknown,18,good,furniture/appliances,1505,< 100 DM,1 - 4 years,2,32,none,1,no
> 200 DM,12,good,furniture/appliances,1881,< 100 DM,1 - 4 years,2,44,none,1,no
> 200 DM,12,critical,car,939,500 - 1000 DM,4 - 7 years,2,28,none,3,yes
unknown,6,poor,furniture/appliances,932,< 100 DM,1 - 4 years,2,24,none,1,no
unknown,12,good,furniture/appliances,2171,< 100 DM,< 1 year,2,29,bank,1,no
unknown,15,good,car,3812,100 - 500 DM,< 1 year,4,23,none,1,no
unknown,24,good,furniture/appliances,1311,100 - 500 DM,4 - 7 years,3,26,none,1,no
unknown,27,good,car,2570,< 100 DM,1 - 4 years,3,21,none,1,yes
< 0 DM,12,good,furniture/appliances,652,< 100 DM,> 7 years,4,24,none,1,no
< 0 DM,36,good,furniture/appliances,3446,< 100 DM,> 7 years,2,42,none,1,yes
unknown,6,perfect,furniture/appliances,426,< 100 DM,> 7 years,4,39,none,1,no
1 - 200 DM,9,critical,furniture/appliances,1919,< 100 DM,4 - 7 years,3,35,none,1,no
unknown,12,good,business,1542,< 100 DM,4 - 7 years,4,36,none,1,no
< 0 DM,12,critical,car,2121,< 100 DM,1 - 4 years,2,30,none,2,no
1 - 200 DM,18,good,renovations,3872,< 100 DM,unemployed,4,67,none,1,no
unknown,6,good,furniture/appliances,1595,< 100 DM,4 - 7 years,2,51,none,1,no
unknown,11,good,business,2142,> 1000 DM,> 7 years,2,28,none,1,no
unknown,18,poor,business,2169,< 100 DM,1 - 4 years,2,28,none,1,yes
unknown,9,good,furniture/appliances,1236,< 100 DM,< 1 year,4,23,none,1,no
unknown,12,good,car,2390,unknown,> 7 years,3,50,none,1,no
1 - 200 DM,30,perfect,business,4221,< 100 DM,1 - 4 years,1,28,none,2,no
< 0 DM,18,good,furniture/appliances,2389,< 100 DM,< 1 year,1,27,store,1,no
< 0 DM,24,very good,furniture/appliances,6872,< 100 DM,< 1 year,1,55,bank,1,yes
1 - 200 DM,24,good,furniture/appliances,3758,500 - 1000 DM,unemployed,4,23,none,1,no
1 - 200 DM,36,poor,car,8086,100 - 500 DM,> 7 years,4,42,none,4,yes
unknown,9,good,furniture/appliances,1313,< 100 DM,> 7 years,4,20,none,1,no
1 - 200 DM,9,good,furniture/appliances,2030,unknown,4 - 7 years,1,24,none,1,no
1 - 200 DM,12,critical,furniture/appliances,1424,< 100 DM,4 - 7 years,3,26,none,1,no
unknown,24,good,education,937,< 100 DM,< 1 year,3,27,none,2,no
1 - 200 DM,20,good,car,6468,unknown,unemployed,4,60,none,1,no
unknown,15,critical,furniture/appliances,1471,< 100 DM,1 - 4 years,4,35,none,2,no
< 0 DM,30,perfect,furniture/appliances,4583,< 100 DM,1 - 4 years,2,32,none,2,no
< 0 DM,21,very good,car,1647,unknown,1 - 4 years,2,40,none,2,yes
unknown,18,critical,furniture/appliances,1817,< 100 DM,1 - 4 years,2,28,none,2,no
unknown,24,critical,car,5804,> 1000 DM,1 - 4 years,2,27,none,2,no
1 - 200 DM,12,good,car,1318,> 1000 DM,> 7 years,4,54,none,1,no
< 0 DM,18,critical,car,3966,< 100 DM,> 7 years,4,33,bank,3,yes
1 - 200 DM,18,good,business,1913,> 1000 DM,< 1 year,3,36,bank,1,no
1 - 200 DM,48,perfect,car0,18424,< 100 DM,1 - 4 years,2,32,bank,1,yes
< 0 DM,9,critical,car,2799,< 100 DM,1 - 4 years,2,36,none,2,no
1 - 200 DM,12,good,car,2002,< 100 DM,4 - 7 years,4,30,none,1,no
unknown,24,good,furniture/appliances,1533,< 100 DM,< 1 year,3,38,store,1,no
> 200 DM,36,good,furniture/appliances,4210,< 100 DM,1 - 4 years,2,26,none,1,yes
unknown,15,good,car,1300,unknown,> 7 years,4,45,bank,1,no
< 0 DM,36,critical,car,9629,< 100 DM,4 - 7 years,4,24,none,2,yes
unknown,24,critical,furniture/appliances,2028,< 100 DM,4 - 7 years,2,30,none,2,no
< 0 DM,24,good,car,2910,< 100 DM,4 - 7 years,1,34,none,1,no
< 0 DM,12,critical,car,2171,< 100 DM,1 - 4 years,4,38,bank,2,no
1 - 200 DM,20,poor,car0,2629,< 100 DM,1 - 4 years,3,29,bank,2,no
< 0 DM,30,perfect,business,8072,unknown,< 1 year,3,25,bank,3,no
> 200 DM,12,poor,car,2247,< 100 DM,1 - 4 years,2,36,store,2,no
< 0 DM,48,good,car,4788,< 100 DM,4 - 7 years,3,26,none,1,no
1 - 200 DM,18,good,car,2779,< 100 DM,1 - 4 years,3,21,none,1,no
1 - 200 DM,24,poor,furniture/appliances,2333,unknown,< 1 year,2,29,bank,1,no
< 0 DM,18,good,car,1216,< 100 DM,< 1 year,3,23,none,1,yes
< 0 DM,18,poor,education,8471,unknown,1 - 4 years,2,23,none,2,no
unknown,36,good,furniture/appliances,2299,500 - 1000 DM,> 7 years,4,39,none,1,no
< 0 DM,15,critical,furniture/appliances,1433,< 100 DM,1 - 4 years,3,25,none,2,no
< 0 DM,12,good,furniture/appliances,1107,< 100 DM,1 - 4 years,2,20,none,1,no
unknown,36,good,furniture/appliances,10974,< 100 DM,unemployed,2,26,none,2,yes
1 - 200 DM,9,good,furniture/appliances,918,< 100 DM,1 - 4 years,1,30,none,1,yes
unknown,36,critical,car,3535,< 100 DM,4 - 7 years,4,37,none,2,no
unknown,12,good,car,2133,unknown,> 7 years,4,52,none,1,no
< 0 DM,12,good,furniture/appliances,1262,unknown,> 7 years,4,49,none,1,no
1 - 200 DM,20,poor,car,7057,unknown,4 - 7 years,4,36,bank,2,no
< 0 DM,18,good,furniture/appliances,2462,< 100 DM,1 - 4 years,2,22,none,1,yes
unknown,48,poor,furniture/appliances,12749,500 - 1000 DM,4 - 7 years,1,37,none,1,no
unknown,9,good,furniture/appliances,1478,< 100 DM,4 - 7 years,2,22,none,1,yes
1 - 200 DM,48,perfect,car,8358,500 - 1000 DM,< 1 year,1,30,none,2,no
unknown,10,good,car,1597,500 - 1000 DM,1 - 4 years,2,40,none,1,no
1 - 200 DM,36,poor,car,2862,100 - 500 DM,> 7 years,3,30,none,1,no
1 - 200 DM,15,perfect,car,1778,< 100 DM,< 1 year,1,26,none,2,yes
unknown,18,good,furniture/appliances,2515,< 100 DM,1 - 4 years,4,43,none,1,no
unknown,12,poor,renovations,1555,> 1000 DM,> 7 years,4,55,none,2,yes
unknown,21,good,car,2476,unknown,> 7 years,4,46,none,1,no
unknown,24,good,furniture/appliances,2397,500 - 1000 DM,> 7 years,2,35,bank,2,yes
1 - 200 DM,12,good,car,2028,unknown,1 - 4 years,2,30,none,1,no
< 0 DM,12,very good,car,697,< 100 DM,< 1 year,2,46,bank,2,yes
< 0 DM,12,good,furniture/appliances,3590,< 100 DM,1 - 4 years,2,29,none,1,no
unknown,30,good,furniture/appliances,1867,unknown,> 7 years,4,58,none,1,no
< 0 DM,40,critical,education,5998,< 100 DM,1 - 4 years,3,27,bank,1,yes
unknown,30,critical,furniture/appliances,5771,< 100 DM,4 - 7 years,2,25,none,2,no
> 200 DM,10,good,furniture/appliances,1225,< 100 DM,1 - 4 years,2,37,none,1,no
< 0 DM,24,critical,car,2957,< 100 DM,> 7 years,4,63,none,2,no
1 - 200 DM,12,good,car,1295,< 100 DM,< 1 year,1,25,none,1,yes
1 - 200 DM,15,very good,car,6850,100 - 500 DM,unemployed,2,34,none,1,yes
1 - 200 DM,18,good,car,12976,< 100 DM,unemployed,4,38,none,1,yes
unknown,36,good,business,7409,unknown,> 7 years,2,37,none,2,no
1 - 200 DM,21,good,furniture/appliances,3976,unknown,4 - 7 years,3,35,none,1,no
< 0 DM,18,critical,car,5302,< 100 DM,> 7 years,4,36,none,3,no
> 200 DM,15,good,furniture/appliances,2327,< 100 DM,< 1 year,3,25,none,1,yes
1 - 200 DM,48,very good,business,6416,< 100 DM,> 7 years,3,59,none,1,yes
1 - 200 DM,24,critical,car,7758,> 1000 DM,> 7 years,4,29,none,1,no
1 - 200 DM,18,critical,car,884,< 100 DM,> 7 years,4,36,bank,1,yes
< 0 DM,28,good,car,4006,< 100 DM,1 - 4 years,2,45,none,1,yes
unknown,12,good,furniture/appliances,1736,< 100 DM,4 - 7 years,4,31,none,1,no
unknown,12,good,business,1076,< 100 DM,1 - 4 years,2,26,none,1,no
unknown,12,critical,furniture/appliances,1258,< 100 DM,< 1 year,4,22,none,2,no
unknown,24,critical,car,4042,unknown,4 - 7 years,4,43,none,2,no
unknown,12,critical,car,1163,500 - 1000 DM,1 - 4 years,4,44,none,1,no
< 0 DM,6,critical,car,860,< 100 DM,> 7 years,4,39,none,2,no
1 - 200 DM,18,perfect,furniture/appliances,3244,< 100 DM,1 - 4 years,4,33,bank,2,no
unknown,18,critical,furniture/appliances,1800,< 100 DM,1 - 4 years,2,24,none,2,no
< 0 DM,6,critical,furniture/appliances,338,500 - 1000 DM,> 7 years,4,52,none,2,no
unknown,9,good,furniture/appliances,1980,< 100 DM,< 1 year,2,19,none,2,yes
< 0 DM,18,good,furniture/appliances,1217,< 100 DM,1 - 4 years,3,47,none,1,yes
1 - 200 DM,24,good,car,1246,< 100 DM,< 1 year,2,23,store,1,yes
< 0 DM,36,good,furniture/appliances,2712,< 100 DM,> 7 years,2,41,bank,1,yes
unknown,10,critical,furniture/appliances,2146,< 100 DM,< 1 year,3,23,none,2,no
< 0 DM,20,good,furniture/appliances,2212,unknown,4 - 7 years,4,39,none,1,no
< 0 DM,12,good,car,3386,< 100 DM,> 7 years,4,35,none,1,yes
< 0 DM,18,good,furniture/appliances,3650,< 100 DM,< 1 year,4,22,none,1,no
unknown,21,good,car,2782,500 - 1000 DM,4 - 7 years,2,31,bank,1,no
< 0 DM,6,good,furniture/appliances,1374,< 100 DM,1 - 4 years,2,36,bank,1,no
unknown,24,critical,car,2197,unknown,4 - 7 years,4,43,none,2,no
unknown,9,critical,car,2134,< 100 DM,1 - 4 years,4,48,none,3,no
unknown,21,good,business,1572,> 1000 DM,> 7 years,4,36,bank,1,no
unknown,18,perfect,business,4165,< 100 DM,1 - 4 years,2,36,store,2,yes
< 0 DM,24,very good,furniture/appliances,3349,500 - 1000 DM,< 1 year,4,30,none,1,yes
< 0 DM,12,good,furniture/appliances,2577,< 100 DM,1 - 4 years,1,42,none,1,no
unknown,6,critical,car,250,> 1000 DM,1 - 4 years,2,41,bank,2,no
unknown,12,good,furniture/appliances,1262,< 100 DM,1 - 4 years,2,25,none,1,no
1 - 200 DM,36,good,furniture/appliances,4795,< 100 DM,< 1 year,1,30,none,1,no
unknown,12,critical,business,1264,unknown,> 7 years,4,57,none,1,no
< 0 DM,24,very good,car0,1358,unknown,> 7 years,3,40,store,1,yes
1 - 200 DM,12,good,furniture/appliances,2762,unknown,> 7 years,2,25,bank,1,yes
unknown,24,critical,furniture/appliances,2684,< 100 DM,1 - 4 years,2,35,none,2,no
1 - 200 DM,24,poor,business,4712,unknown,1 - 4 years,2,37,bank,2,no
unknown,30,critical,car,7596,unknown,> 7 years,4,63,none,2,no
< 0 DM,12,perfect,furniture/appliances,6199,< 100 DM,1 - 4 years,2,28,none,2,yes
< 0 DM,6,good,car,14896,< 100 DM,> 7 years,4,68,bank,1,yes
< 0 DM,36,good,furniture/appliances,3959,< 100 DM,unemployed,3,30,none,1,no
< 0 DM,6,good,furniture/appliances,2647,500 - 1000 DM,1 - 4 years,3,44,none,1,no
< 0 DM,24,good,furniture/appliances,2439,< 100 DM,< 1 year,4,35,none,1,yes
< 0 DM,15,good,business,806,< 100 DM,1 - 4 years,4,22,none,1,no
< 0 DM,15,good,car,2511,< 100 DM,unemployed,4,23,none,1,no
1 - 200 DM,21,good,business,2767,100 - 500 DM,> 7 years,2,61,bank,2,yes
1 - 200 DM,36,good,car,9398,< 100 DM,< 1 year,4,28,none,1,yes
< 0 DM,48,perfect,furniture/appliances,7119,< 100 DM,1 - 4 years,4,53,none,2,yes
unknown,15,critical,furniture/appliances,1360,< 100 DM,1 - 4 years,2,31,none,2,no
< 0 DM,24,poor,car,4870,< 100 DM,1 - 4 years,4,53,none,2,yes
unknown,42,good,furniture/appliances,7166,unknown,4 - 7 years,4,29,none,1,no
unknown,21,poor,business,2580,500 - 1000 DM,< 1 year,2,41,bank,1,yes
unknown,24,critical,car,1940,> 1000 DM,> 7 years,4,60,none,1,no
< 0 DM,18,good,furniture/appliances,2600,< 100 DM,1 - 4 years,4,65,none,2,yes
< 0 DM,30,good,furniture/appliances,2522,< 100 DM,> 7 years,3,39,none,1,no
< 0 DM,15,poor,furniture/appliances,3643,< 100 DM,> 7 years,4,27,none,2,no
> 200 DM,12,good,furniture/appliances,1424,unknown,> 7 years,4,55,none,1,no
> 200 DM,24,critical,furniture/appliances,3148,unknown,1 - 4 years,2,31,none,2,no
unknown,6,good,furniture/appliances,518,< 100 DM,1 - 4 years,1,29,none,1,no
1 - 200 DM,12,good,furniture/appliances,1092,< 100 DM,1 - 4 years,4,49,none,2,no
< 0 DM,45,good,furniture/appliances,1845,< 100 DM,1 - 4 years,4,23,none,1,yes
1 - 200 DM,15,very good,car,1264,100 - 500 DM,1 - 4 years,2,25,none,1,yes
1 - 200 DM,30,good,car,2150,< 100 DM,1 - 4 years,2,24,bank,1,yes
1 - 200 DM,36,good,education,3711,unknown,1 - 4 years,2,27,none,1,no
< 0 DM,12,good,car,1893,< 100 DM,1 - 4 years,4,29,none,1,no
> 200 DM,18,very good,furniture/appliances,1445,unknown,4 - 7 years,4,49,bank,1,no
1 - 200 DM,9,good,car,1549,unknown,< 1 year,2,35,none,1,no
< 0 DM,18,very good,furniture/appliances,1940,< 100 DM,< 1 year,4,36,bank,1,no
< 0 DM,21,poor,education,3414,< 100 DM,< 1 year,1,26,none,2,yes
> 200 DM,24,good,furniture/appliances,2892,< 100 DM,> 7 years,4,51,none,1,no
< 0 DM,12,good,furniture/appliances,1289,< 100 DM,1 - 4 years,1,21,none,1,no
1 - 200 DM,12,good,car,836,100 - 500 DM,< 1 year,2,23,bank,1,yes
< 0 DM,42,good,furniture/appliances,3965,< 100 DM,< 1 year,3,34,none,1,yes
unknown,12,good,car,1101,< 100 DM,1 - 4 years,2,27,none,2,no
> 200 DM,12,very good,furniture/appliances,409,> 1000 DM,1 - 4 years,3,42,none,2,no
> 200 DM,30,poor,business,1908,< 100 DM,> 7 years,4,66,none,1,yes
1 - 200 DM,24,good,car,1201,< 100 DM,< 1 year,1,26,none,1,no
< 0 DM,30,critical,car,6187,100 - 500 DM,4 - 7 years,4,24,none,2,no
< 0 DM,18,critical,furniture/appliances,1049,< 100 DM,< 1 year,4,21,none,1,no
unknown,4,critical,car,3380,< 100 DM,4 - 7 years,1,37,none,1,no
< 0 DM,13,critical,business,1797,< 100 DM,< 1 year,1,28,bank,2,no
unknown,15,good,car,3556,unknown,1 - 4 years,2,29,none,1,no
unknown,18,critical,furniture/appliances,1098,< 100 DM,unemployed,4,65,none,2,no
< 0 DM,12,good,furniture/appliances,1657,< 100 DM,1 - 4 years,2,27,none,1,no
1 - 200 DM,30,poor,furniture/appliances,1919,100 - 500 DM,< 1 year,3,30,store,2,yes
> 200 DM,6,poor,furniture/appliances,683,< 100 DM,< 1 year,1,29,bank,1,no
unknown,6,good,furniture/appliances,1766,< 100 DM,1 - 4 years,2,21,none,1,no
1 - 200 DM,48,good,furniture/appliances,9960,< 100 DM,< 1 year,2,26,none,1,yes
unknown,10,good,furniture/appliances,2210,< 100 DM,1 - 4 years,2,25,bank,1,yes
unknown,12,good,car,2859,unknown,unemployed,4,38,none,1,no
unknown,12,good,furniture/appliances,1123,500 - 1000 DM,1 - 4 years,4,29,none,1,yes
unknown,10,critical,furniture/appliances,2069,unknown,1 - 4 years,1,26,none,2,no
> 200 DM,24,good,furniture/appliances,5152,< 100 DM,4 - 7 years,2,25,bank,1,no
unknown,18,critical,furniture/appliances,2404,< 100 DM,1 - 4 years,2,26,none,2,no
1 - 200 DM,18,good,furniture/appliances,1924,unknown,< 1 year,3,27,none,1,yes
< 0 DM,24,good,car,2303,< 100 DM,> 7 years,1,45,none,1,yes
1 - 200 DM,12,critical,car,958,< 100 DM,4 - 7 years,3,47,none,2,no
1 - 200 DM,12,poor,furniture/appliances,585,< 100 DM,1 - 4 years,4,20,none,2,no
< 0 DM,18,good,furniture/appliances,3509,< 100 DM,4 - 7 years,1,25,none,1,no
< 0 DM,15,good,furniture/appliances,1053,< 100 DM,< 1 year,2,27,none,1,no
1 - 200 DM,9,good,furniture/appliances,2118,< 100 DM,1 - 4 years,2,37,none,1,no
< 0 DM,27,critical,business,2442,< 100 DM,> 7 years,4,43,store,4,no
1 - 200 DM,12,good,furniture/appliances,1158,500 - 1000 DM,1 - 4 years,1,26,none,1,no
< 0 DM,10,good,furniture/appliances,2315,< 100 DM,> 7 years,4,52,none,1,no
> 200 DM,21,good,car,2923,100 - 500 DM,1 - 4 years,1,28,bank,1,no
unknown,36,critical,car,5842,< 100 DM,> 7 years,2,35,none,2,no
< 0 DM,36,good,car,8335,unknown,> 7 years,4,47,none,1,yes
unknown,36,poor,business,7980,unknown,< 1 year,4,27,none,2,yes
unknown,20,critical,car,3485,unknown,< 1 year,4,44,none,2,no
unknown,30,critical,furniture/appliances,2831,< 100 DM,1 - 4 years,2,33,none,1,no
unknown,36,critical,furniture/appliances,3342,unknown,> 7 years,2,51,none,1,no
1 - 200 DM,9,good,furniture/appliances,1206,< 100 DM,> 7 years,4,25,none,1,no
unknown,13,good,furniture/appliances,1409,100 - 500 DM,unemployed,4,64,none,1,no
< 0 DM,24,good,furniture/appliances,7721,unknown,< 1 year,2,30,none,1,no
< 0 DM,30,good,furniture/appliances,2406,< 100 DM,4 - 7 years,4,23,none,1,yes
unknown,12,poor,car,1503,< 100 DM,1 - 4 years,4,41,none,1,no
unknown,24,good,furniture/appliances,2284,< 100 DM,4 - 7 years,2,28,none,1,no
1 - 200 DM,36,poor,business,4455,< 100 DM,1 - 4 years,2,30,store,2,yes
unknown,6,critical,car,2080,500 - 1000 DM,1 - 4 years,2,24,none,1,no
unknown,15,good,furniture/appliances,1262,500 - 1000 DM,4 - 7 years,3,36,none,2,no
unknown,30,critical,furniture/appliances,4530,< 100 DM,4 - 7 years,4,26,none,1,no
1 - 200 DM,24,good,car,12579,< 100 DM,> 7 years,2,44,none,1,yes
< 0 DM,36,good,furniture/appliances,5179,< 100 DM,4 - 7 years,2,29,none,1,yes
< 0 DM,12,critical,car,691,< 100 DM,> 7 years,3,35,none,2,yes
unknown,48,critical,car,11590,100 - 500 DM,1 - 4 years,4,24,bank,2,yes
unknown,24,good,car,1474,100 - 500 DM,< 1 year,3,33,none,1,no
unknown,7,poor,furniture/appliances,846,unknown,> 7 years,4,36,none,1,no
unknown,21,good,furniture/appliances,2241,< 100 DM,> 7 years,2,50,none,2,no
> 200 DM,24,critical,car,1344,unknown,4 - 7 years,2,37,bank,2,yes
unknown,12,critical,furniture/appliances,1240,unknown,> 7 years,2,38,none,2,no
< 0 DM,24,good,furniture/appliances,2359,100 - 500 DM,unemployed,1,33,none,1,yes
> 200 DM,24,good,furniture/appliances,1925,< 100 DM,1 - 4 years,2,26,none,1,no
1 - 200 DM,48,good,car,8487,unknown,4 - 7 years,2,24,none,1,no
unknown,12,good,furniture/appliances,763,< 100 DM,1 - 4 years,1,26,none,1,no
1 - 200 DM,26,good,car,7966,< 100 DM,< 1 year,3,30,none,2,no
1 - 200 DM,9,good,education,1199,< 100 DM,4 - 7 years,4,67,none,2,no
unknown,21,good,car,5248,unknown,1 - 4 years,3,26,none,1,no
< 0 DM,12,good,furniture/appliances,7865,< 100 DM,> 7 years,4,53,none,1,yes
unknown,18,critical,furniture/appliances,1149,> 1000 DM,1 - 4 years,3,46,none,2,no
< 0 DM,36,critical,furniture/appliances,5371,< 100 DM,1 - 4 years,2,28,none,2,no
unknown,24,good,business,4591,> 1000 DM,1 - 4 years,3,54,none,3,yes
unknown,24,good,furniture/appliances,3181,< 100 DM,< 1 year,4,26,none,1,no
1 - 200 DM,20,perfect,car,6148,100 - 500 DM,> 7 years,4,31,bank,2,no
1 - 200 DM,48,poor,education,6224,< 100 DM,> 7 years,4,50,none,1,yes
1 - 200 DM,18,critical,car,1056,< 100 DM,> 7 years,3,30,bank,2,yes
unknown,18,critical,furniture/appliances,1169,unknown,1 - 4 years,3,29,none,2,no
> 200 DM,6,critical,car,1299,< 100 DM,1 - 4 years,1,74,none,3,no
1 - 200 DM,8,good,furniture/appliances,1414,< 100 DM,1 - 4 years,2,33,none,1,no
unknown,18,critical,car,3850,< 100 DM,4 - 7 years,1,27,none,2,no
< 0 DM,36,good,car0,15857,< 100 DM,unemployed,3,43,none,1,no
< 0 DM,24,poor,furniture/appliances,1024,< 100 DM,< 1 year,4,48,store,1,yes
unknown,24,critical,business,4139,100 - 500 DM,1 - 4 years,3,27,none,2,no
1 - 200 DM,15,good,furniture/appliances,1444,unknown,< 1 year,1,23,none,1,no
< 0 DM,14,good,car,8978,< 100 DM,> 7 years,4,45,none,1,yes
unknown,36,poor,furniture/appliances,4454,< 100 DM,1 - 4 years,4,34,none,2,no
unknown,10,good,car,1287,unknown,> 7 years,2,45,none,1,no
1 - 200 DM,24,critical,education,5743,< 100 DM,< 1 year,4,24,none,2,no
< 0 DM,12,good,furniture/appliances,1620,< 100 DM,1 - 4 years,3,30,none,1,no
unknown,30,very good,car,7485,unknown,unemployed,1,53,bank,1,yes
unknown,24,good,car,1469,100 - 500 DM,> 7 years,4,41,none,1,no
unknown,6,critical,furniture/appliances,1554,< 100 DM,4 - 7 years,2,24,none,2,no
< 0 DM,24,poor,furniture/appliances,1659,< 100 DM,< 1 year,2,29,none,1,yes
unknown,9,good,furniture/appliances,1388,< 100 DM,1 - 4 years,2,26,none,1,no
1 - 200 DM,24,critical,business,2825,unknown,4 - 7 years,3,34,none,2,no
1 - 200 DM,12,good,renovations,639,< 100 DM,1 - 4 years,2,30,none,1,yes
> 200 DM,18,good,furniture/appliances,3049,< 100 DM,< 1 year,1,45,store,1,no
> 200 DM,15,good,education,392,< 100 DM,< 1 year,4,23,none,1,no
< 0 DM,24,good,car,2924,< 100 DM,1 - 4 years,4,63,bank,1,no
> 200 DM,9,good,furniture/appliances,1126,100 - 500 DM,> 7 years,4,49,none,1,no
> 200 DM,24,good,furniture/appliances,1258,500 - 1000 DM,1 - 4 years,3,57,none,1,no
unknown,33,poor,business,2764,< 100 DM,1 - 4 years,2,26,none,2,no
< 0 DM,24,good,business,6568,< 100 DM,1 - 4 years,2,21,store,1,no
unknown,22,good,furniture/appliances,2675,500 - 1000 DM,> 7 years,4,40,none,1,no
< 0 DM,24,good,furniture/appliances,1282,100 - 500 DM,1 - 4 years,2,32,none,1,yes
unknown,12,critical,business,1412,< 100 DM,1 - 4 years,2,29,none,2,no
1 - 200 DM,12,good,furniture/appliances,951,100 - 500 DM,< 1 year,4,27,bank,4,yes
unknown,12,critical,education,701,< 100 DM,1 - 4 years,2,32,none,2,no
> 200 DM,12,good,furniture/appliances,3016,< 100 DM,1 - 4 years,1,24,none,1,no
unknown,18,critical,car,2775,< 100 DM,4 - 7 years,2,31,bank,2,yes
< 0 DM,30,critical,car,10623,< 100 DM,> 7 years,4,38,none,3,no
1 - 200 DM,60,good,education,6288,< 100 DM,1 - 4 years,4,42,none,1,yes
< 0 DM,12,good,car,900,unknown,1 - 4 years,2,23,none,1,yes
